Issuer Name,BSE Code,NSE Code,Sector Name,Industry Name,BSE/NSE Flag
Kajaria Ceramics Ltd,500233,,Consumer Discretionary,Consumer Durables,N
Kakatiya Cement Sugar & Industries Ltd.,500234,,Commodities,Construction Materials,N
Kalyani Steels Ltd,500235,,Industrials,Capital Goods,N
Whirlpool of India Ltd,500238,,Consumer Discretionary,Consumer Durables,N
K.G.Denim Ltd,500239,,Consumer Discretionary,Textiles,N
Kinetic Engineering Ltd.,500240,,Consumer Discretionary,Automobile and Auto Components,N
Kirloskar Brothers Ltd.,500241,,Industrials,Capital Goods,N
Kirloskar Industries Ltd,500243,,Industrials,Capital Goods,N
Kirloskar Ferrous Industries Ltd.,500245,,Commodities,Metals & Mining,N
Envair Electrodyne Ltd.,500246,,Industrials,Capital Goods,N
Kotak Mahindra Bank Ltd.,500247,,Financial Services,Financial Services,N
KRISHNA FILAMENT INDUSTRIES LIMITED,500248,,Industrials,Capital Goods,N
KSB LIMITED,500249,KSB,Industrials,Capital Goods,Y
L.g.Balkrishnan & Bros. Ltd.,500250,,Consumer Discretionary,Automobile and Auto Components,N
Trent Ltd [Lakme Ltd],500251,,Consumer Discretionary,Consumer Services,N
LMW Limited,500252,LMW,Industrials,Capital Goods,Y
Lic Housing Finance Ltd.,500253,,Financial Services,Financial Services,N
Lupin Ltd,500257,,Healthcare,Healthcare,N
Lyka Labs Ltd.,500259,,Healthcare,Healthcare,N
The Ramco Cements Limited,500260,RAMCOCEM,Commodities,Construction Materials,Y
HYBRID FINANCIAL SERVICES LIMITED,500262,HYBRIDFIN,Financial Services,Financial Services,Y
Mafatlal Industries Ltd.,500264,,Consumer Discretionary,Textiles,N
Maharashtra Seamless Ltd.,500265,,Industrials,Capital Goods,N
Maharashtra Scooters Ltd.,500266,,Financial Services,Financial Services,N
Majestic Auto Ltd.,500267,,Services,Services,N
Manali Petrochemicals Ltd.,500268,,Commodities,Chemicals,N
Baroda Rayon Corpn. Ltd.,500270,,Consumer Discretionary,Realty,N
Max Financial Services Limited,500271,MFSL,Financial Services,Financial Services,Y
Mid India Industries Limited,500277,,Consumer Discretionary,Textiles,N
Mirc Electronics Ltd,500279,,Consumer Discretionary,Consumer Durables,N
Century Enka Ltd.,500280,,Consumer Discretionary,Textiles,N
Modern Thread (India) Ltd.,500282,,Consumer Discretionary,Textiles,N
Lords Chloro Alkali Ltd,500284,,Commodities,Chemicals,N
SpiceJet Limited,500285,,Services,Services,N
Morepen Laboratories Ltd.,500288,,Healthcare,Healthcare,N
M.R.F. Ltd.,500290,,Consumer Discretionary,Automobile and Auto Components,N
HeidelbergCement  India Limited,500292,,Commodities,Construction Materials,N
NCC Limited,500294,NCC,Industrials,Construction,Y
Vedanta Limited,500295,VEDL,Commodities,Metals & Mining,Y
Nahar Spinning Mills Ltd.,500296,,Consumer Discretionary,Textiles,N
Naperol Investments Limited,500298,,Financial Services,Financial Services,N
Grasim Industries Ltd,500300,,Commodities,Construction Materials,N
Piramal Enterprises Limited,500302,PEL,Financial Services,Financial Services,Y
NIIT Ltd.,500304,,Consumer Discretionary,Consumer Services,N
Jaykay Enterprises Limited,500306,,Industrials,Capital Goods,N
Nirlon Limited,500307,,Services,Services,N
Oil And Natural Gas Corporation Ltd,500312,,Energy,"Oil, Gas & Consumable Fuels",N
Oil Country Tubular Ltd.,500313,,Energy,"Oil, Gas & Consumable Fuels",N
Oriental Hotels Ltd.,500314,,Consumer Discretionary,Consumer Services,N
Oswal Agro Mills Ltd.,500317,,Services,Services,N
Indian Sucrose Ltd.,500319,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Panyam Cements & Mineral Inds. Ltd.,500322,,Commodities,Construction Materials,N
Reliance Industries Ltd,500325,,Energy,"Oil, Gas & Consumable Fuels",N
Pil Italica Lifestyle Limited,500327,PILITA,Consumer Discretionary,Consumer Durables,Y
Raymond Limited,500330,RAYMOND,Consumer Discretionary,Realty,Y
Pidilite Industries Ltd.,500331,,Commodities,Chemicals,N
Pix Transmissions Ltd.,500333,,Industrials,Capital Goods,N
Birla Corporation Ltd.,500335,,Commodities,Construction Materials,N
Surya Roshni Ltd.,500336,,Industrials,Capital Goods,N
Prime Securities Ltd.,500337,,Financial Services,Financial Services,N
PRISM JOHNSON LIMITED.,500338,,Commodities,Construction Materials,N
Rain Industries Limited,500339,RAIN,Commodities,Chemicals,Y
Prudential Sugar Corporation Ltd,500342,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
AMJ LAND HOLDINGS LIMITED,500343,AMJLAND,Consumer Discretionary,Realty,Y
Punjab Communications Limited,500346,,Telecommunication,Telecommunication,N
RSWM Limited,500350,RSWM,Consumer Discretionary,Textiles,Y
Rajshree Sugars & Chemicals Ltd.,500354,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Rallis India Ltd,500355,,Commodities,Chemicals,N
Shree Rama Newsprint Limited,500356,RAMANEWS,Commodities,Forest Materials,Y
Rama Paper Mills Limited,500357,,Commodities,Forest Materials,N
Rapicut Carbides Ltd.,500360,,Industrials,Capital Goods,N
WELSPUN SPECIALTY SOLUTIONS LIMITED,500365,,Industrials,Capital Goods,N
Rolta India Ltd.,500366,,Information Technology,Information Technology,N
Rubfila International Ltd.,500367,,Industrials,Capital Goods,N
Patanjali Foods Limited,500368,PATANJALI,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Y
Salora International Limited,500370,,Services,Services,N
Jindal Saw Ltd.,500378,,Industrials,Capital Goods,N
JK Lakshmi Cement Limited,500380,JKLAKSHMI,Commodities,Construction Materials,Y
Shree Cements Ltd.,500387,,Commodities,Construction Materials,N
Shree Krishna Paper Mills & Industr,500388,,Commodities,Forest Materials,N
Silverline Technologies Ltd.,500389,,Information Technology,Information Technology,N
Reliance Infrastructure Ltd,500390,,Utilities,Power,N
Tata Power Co. Ltd,500400,,Utilities,Power,N
SPML Infra Limited,500402,SPMLINFRA,Industrials,Construction,Y
Sundram Fasteners Ltd.,500403,,Consumer Discretionary,Automobile and Auto Components,N
Sunflag Iron & Steel Co. Ltd.,500404,,Industrials,Capital Goods,N
Supreme Petrochem Ltd.,500405,,Commodities,Chemicals,N
Swaraj Engines Ltd.,500407,,Industrials,Capital Goods,N
Tata Elxsi Ltd,500408,,Information Technology,Information Technology,N
ACC Ltd,500410,,Commodities,Construction Materials,N
Thermax Ltd.,500411,,Industrials,Capital Goods,N
Thirumalai Chemicals Ltd.,500412,,Commodities,Chemicals,N
Thomas Cook (India) Ltd.,500413,,Consumer Discretionary,Consumer Services,N
Timex Group India Ltd,500414,,Consumer Discretionary,Consumer Durables,N
Tokyo Plast International Ltd.,500418,,Consumer Discretionary,Consumer Durables,N
Torrent Pharmaceuticals Ltd.,500420,,Healthcare,Healthcare,N
TPI India Ltd.,500421,,Industrials,Capital Goods,N
Transchem Limited.,500422,,Healthcare,Healthcare,N
Ambuja Cements Ltd.,500425,,Commodities,Construction Materials,N
UTL Industries Limited,500426,,Consumer Discretionary,Realty,N
Uniphos Enterprises Limited.,500429,,Commodities,Chemicals,N
Vardhman Holdings Limited,500439,VHL,Financial Services,Financial Services,Y
Hindalco Industries Ltd.,500440,,Commodities,Metals & Mining,N
West Coast Paper Mills Limited,500444,WSTCSTPAPR,Commodities,Forest Materials,Y
Hindustan Organic Chemicals Ltd.,500449,,Commodities,Chemicals,N
MPIL CORPORATION LIMITED,500450,,Financial Services,Financial Services,N
Pasupati Acrylon Ltd.,500456,,Commodities,Chemicals,N
Kore Foods Limited,500458,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Procter & Gamble Hygiene & Health Care Ltd.,500459,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Mukand Ltd.,500460,,Commodities,Metals & Mining,N
BLACK BOX LIMITED,500463,BBOX,Information Technology,Information Technology,Y
UCAL LIMITED,500464,UCAL,Consumer Discretionary,Automobile and Auto Components,Y
Harrisons Malayalam Ltd.,500467,,Industrials,Capital Goods,N
Federal Bank Ltd.,500469,,Financial Services,Financial Services,N
TATA STEEL LIMITED,500470,TATASTEEL,Commodities,Metals & Mining,Y
SKF India Ltd.,500472,,Industrials,Capital Goods,N
Ashok Leyland Ltd.,500477,,Industrials,Capital Goods,N
Cummins India Ltd.,500480,,Industrials,Capital Goods,N
Tata Communications Limited,500483,TATACOMM,Telecommunication,Telecommunication,Y
Abbott India Ltd.,500488,,Healthcare,Healthcare,N
Bajaj Holdings & Investment Limited,500490,BAJAJHLDNG,Financial Services,Financial Services,Y
Bharat Forge Ltd,500493,,Consumer Discretionary,Automobile and Auto Components,N
Escorts Kubota Limited,500495,ESCORTS,Industrials,Capital Goods,Y
Hindustan Motors Ltd.,500500,,Consumer Discretionary,Automobile and Auto Components,N
Larsen & Toubro Limited,500510,LT,Industrials,Construction,Y
Mahindra & Mahindra Ltd.,500520,,Consumer Discretionary,Automobile and Auto Components,N
Bosch Ltd,500530,,Consumer Discretionary,Automobile and Auto Components,N
Premier Limited,500540,PREMIER,Industrials,Capital Goods,Y
Bharat Petroleum Corpn. Ltd.,500547,,Energy,"Oil, Gas & Consumable Fuels",N
Siemens Ltd.,500550,,Industrials,Capital Goods,N
Tata Motors Ltd.,500570,,Consumer Discretionary,Automobile and Auto Components,N
Voltas Ltd.,500575,,Consumer Discretionary,Consumer Durables,N
Great Eastern Shipping Co. Ltd.,500620,,Services,Services,N
Deepak Fertilizers &Petrochemicals,500645,,Commodities,Chemicals,N
Excell Industries Ltd.,500650,,Commodities,Chemicals,N
GARWARE HI-TECH FILMS LIMITED,500655,GRWRHITECH,Industrials,Capital Goods,Y
GlaxoSmithkline Pharmaceuticals Ltd.,500660,,Healthcare,Healthcare,N
Gujarat Narmada Valley Fert.Co.Ltd,500670,,Commodities,Chemicals,N
Novartis India Limited.,500672,,Healthcare,Healthcare,N
Sanofi India Ltd,500674,,Healthcare,Healthcare,N
Pfizer Ltd.,500680,,Healthcare,Healthcare,N
Gujarat State Fertilizers & Chem.Ltd,500690,,Commodities,Chemicals,N
Hindustan Unilever Ltd.,500696,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Akzo Nobel India Limited,500710,AKZOINDIA,Consumer Discretionary,Consumer Durables,Y
NOCIL Ltd,500730,,Commodities,Chemicals,N
Tata Chemicals Ltd,500770,,Commodities,Chemicals,N
Tamilnadu Petroproducts Ltd,500777,,Commodities,Chemicals,N
Zuari Industries Limited,500780,ZUARIIND,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Y
Nestle India Ltd.,500790,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
TATA CONSUMER PRODUCTS LIMITED,500800,TATACONSUM,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Y
Asian Paints Ltd.,500820,,Consumer Discretionary,Consumer Durables,N
Britannia Industries Ltd.,500825,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Colgate-Palmolive (India) Ltd.,500830,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
EIH Ltd,500840,,Consumer Discretionary,Consumer Services,N
Indian Hotels Co. Ltd,500850,,Consumer Discretionary,Consumer Services,N
Castrol India Ltd,500870,,Energy,"Oil, Gas & Consumable Fuels",N
ITC Ltd,500875,,Fast Moving Consumer Goods,Fast Moving Consumer Goods,N
Apollo Tyres Ltd,500877,,Consumer Discretionary,Automobile and Auto Components,N
Ceat Ltd.,500878,,Consumer Discretionary,Automobile and Auto Components,N
Modi Rubber Ltd.,500890,,Consumer Discretionary,Automobile and Auto Components,N
Finolex Industries Ltd.,500940,,Industrials,Capital Goods,N
Sunrise Industrial Traders Ltd.,501110,,Financial Services,Financial Services,N
Gold Rock Investments Ltd.,501111,,Services,Services,N
Peoples Investments Ltd.,501144,,Services,Services,N
Dalal Street Investments Ltd.,501148,,Financial Services,Financial Services,N
Centrum Capital Limited,501150,CENTRUM,Financial Services,Financial Services,Y
TCI Finance Limited,501242,TCIFINANCE,Financial Services,Financial Services,Y
Kratos Energy & Infrastructure Limited,501261,,Services,Services,N
